ID,X,Y,Click
1084,755,512,0
1085,690,400,0
1086,756,519,0
1087,767,550,0
1088,749,323,0
1089,760,534,0
1090,768,554,0
1091,809,229,0
1092,763,543,0
1093,768,557,0
1094,868,144,0
1095,767,561,0
1096,767,550,0
1097,925,73,0
1098,768,554,0
1099,765,571,0
1100,974,16,0
1101,765,586,0
1102,768,557,0
1103,767,561,0
1104,765,598,0
1105,765,571,0
1106,765,609,0
1107,765,586,0
1108,765,612,0
1109,765,598,0
1110,763,613,0
1111,765,609,0
1112,762,616,0
1113,765,612,0
1114,762,620,0
1115,763,613,0
1116,761,624,0
1117,762,616,0
1118,761,626,0
1119,762,620,0
1120,508,583,0
1121,761,624,0
1122,508,577,0
1123,761,626,0
1124,511,571,0
1125,508,583,0
1126,515,566,0
1127,508,577,0
1128,546,546,0
1129,511,571,0
1130,569,529,0
1131,515,566,0
1132,596,501,0
1133,546,546,0
1134,641,452,0
1135,569,529,0
1136,690,400,0
1137,596,501,0
1138,749,323,0
1139,641,452,0
1140,809,229,0
1141,690,400,0
1142,868,144,0
1143,749,323,0
1144,925,73,0
1145,809,229,0
1146,974,16,0
1147,868,144,0
1148,925,73,0
1149,974,16,0
1150,288,1,0
1151,272,1,0
1152,239,1,0
1153,215,0,0
1154,191,88,0
1155,297,153,0
1156,384,148,0
1157,386,144,0
1158,387,134,0
1159,377,115,0
1160,354,93,0
1161,333,84,0
1162,311,83,0
1163,292,87,0
1164,273,99,0
1165,251,117,0
1166,230,139,0
1167,214,167,0
1168,206,196,0
1169,203,223,0
1170,206,243,0
1171,214,263,0
1172,233,281,0
1173,297,312,0
1174,350,324,0
1175,407,332,0
1176,458,335,0
1177,499,335,0
1178,538,328,0
1179,570,321,0
1180,605,306,0
1181,638,276,0
1182,644,251,0
1183,641,219,0
1184,601,150,0
1185,584,134,0
1186,542,101,0
1187,495,75,0
1188,459,66,0
1189,408,65,0
1190,375,73,0
1191,344,89,0
1192,311,113,0
1193,281,146,0
1194,262,174,0
1195,254,195,0
1196,249,212,0
1197,248,220,0
1198,242,228,0
1199,240,229,0
1200,236,230,0
1201,234,230,0
1202,230,230,0
1203,227,230,0
1204,226,230,0
1205,224,230,0
1206,273,184,0
1207,289,174,0
1208,312,163,0
1209,337,153,0
1210,369,142,0
1211,400,135,0
1212,431,128,0
1213,460,124,0
1214,489,120,0
1215,552,117,0
1216,598,117,0
1217,646,119,0
1218,693,127,0
1219,719,133,0
1220,745,147,0
1221,757,162,0
1222,767,179,0
1223,777,199,0
1224,787,221,0
1225,796,244,0
1226,798,262,0
1227,797,281,0
1228,786,298,0
1229,764,314,0
1230,747,325,0
1231,724,332,0
1232,681,338,0
1233,643,341,0
1234,601,342,0
1235,546,344,0
1236,232,210,0
1237,232,217,0
1238,241,232,0
1239,263,238,0
1240,280,238,0
1241,298,237,0
1242,316,229,0
1243,327,215,0
1244,331,197,0
1245,331,177,0
1246,322,155,0
1247,302,133,0
1248,278,118,0
1249,259,117,0
1250,236,124,0
1251,224,140,0
1252,219,157,0
1253,218,172,0
1254,228,183,0
1255,249,187,0
1256,299,185,0
1257,337,176,0
1258,363,158,0
1259,370,132,0
1260,365,108,0
1261,331,68,0
1262,281,29,0
1263,228,10,0
1264,182,4,0
1265,149,8,0
1266,130,20,0
1267,120,35,0
1268,121,65,0
1269,235,66,0
1270,224,45,0
1271,201,23,0
1272,172,12,0
1273,137,10,0
1274,103,13,0
1275,72,26,0
1276,55,46,0
1277,51,65,0
1278,60,87,0
1279,88,105,0
1280,122,115,0
1281,162,119,0
1282,188,118,0
1283,200,110,0
1284,202,100,0
1285,201,85,0
1286,192,71,0
1287,180,63,0
1288,160,63,0
1289,144,73,0
1290,129,93,0
1291,121,111,0
1292,121,122,0
1293,130,131,0
1294,149,134,0
1295,205,130,0
1296,236,118,0
1297,248,108,0
1298,247,91,0
1299,225,71,0
1300,192,57,0
1301,155,50,0
1302,123,53,0
1303,95,69,0
1304,81,90,0
1305,86,111,0
1306,115,124,0
1307,145,128,0
1308,171,126,0
1309,184,119,0
1310,190,107,0
1311,188,92,0
1312,173,77,0
1313,154,67,0
1314,125,66,0
1315,108,75,0
1316,97,92,0
1317,95,107,0
1318,102,121,0
1319,114,128,0
1320,126,130,0
1321,136,130,0
1322,147,124,0
1323,115,58,0
1324,103,70,0
1325,99,79,0
1326,99,85,0
1327,113,90,0
